표준키,키유형,TMS_견적코드,매칭방식,매칭신뢰도,검증상태,근거
"""Solid커스텀G형박스",굿즈명,SOLD,유사,0.40,미검증,jaccard score=0.40 freq=1 ambiguous-name:SCGB|SOLD
"""Solid커스텀G형박스(L사이즈)",굿즈명,SOLD,유사,0.60,미검증,jaccard score=0.60 freq=1 ambiguous-name:SCGB|SOLD
"""Solid커스텀G형박스(L사이즈) 키트",굿즈명,SOLD,유사,0.50,미검증,jaccard score=0.50 freq=2 ambiguous-name:SCGB|SOLD
"""Solid커스텀G형박스(S사이즈) 키트",굿즈명,SOLD,유사,0.50,미검증,jaccard score=0.50 freq=1 ambiguous-name:SCGB|SOLD
"""프라우드메모패드(블랙)",굿즈명,ALBP,유사,0.50,미검증,jaccard score=0.50 freq=1
(+비치타올+여권지갑+스타일 수면안대),굿즈명,STSM,유사,0.50,미검증,jaccard score=0.50 freq=1
(1 안전봉투),굿즈명,SFPP,유사,0.50,미검증,jaccard score=0.50 freq=1
(블랙),굿즈명,ALBP,정확,1.00,확정,jaccard score=1.00 freq=1
(블랙)1,굿즈명,ALBP,정확,1.00,확정,jaccard score=1.00 freq=1
(수면안대4,굿즈명,STSM,유사,0.50,미검증,jaccard score=0.50 freq=1
(스티커 X,굿즈명,DECO,유사,0.50,미검증,jaccard score=0.50 freq=1
(잔여분)다이어리(1)1,굿즈명,MOLD,유사,0.50,미검증,jaccard_norm score=0.50 freq=1
(캘린더,굿즈명,LTCL,유사,0.50,미검증,jaccard score=0.50 freq=2
(커스텀 박스),굿즈명,SCGL,유사,0.50,미검증,jaccard score=0.50 freq=1 ambiguous-name:SCGL|SOLL
Advent굿즈박스 키트,굿즈명,AVBX,유사,0.67,미검증,jaccard score=0.67 freq=6
Advent굿즈박스 키트 [브랜드팝클리어키링],굿즈명,AVBX,유사,0.50,미검증,jaccard score=0.50 freq=1
Advent굿즈박스 키트 [핸디파우더솝],굿즈명,AVBX,유사,0.50,미검증,jaccard score=0.50 freq=2
BLANKUV칫솔살균기,굿즈명,UVBR,정확,1.00,확정,jaccard score=1.00 freq=36
BLANK칫솔살균기 (1),굿즈명,UVBR,유사,0.67,미검증,jaccard score=0.67 freq=1
BLANK칫솔살균기 (2),굿즈명,UVBR,유사,0.67,미검증,jaccard score=0.67 freq=1
Brandfit 커스텀 쇼핑백,굿즈명,BFSB,정확,1.00,확정,jaccard score=1.00 freq=7
Brandfit커스텀쇼핑백,굿즈명,BFSB,정확,1.00,확정,jaccard score=1.00 freq=51
Carry me 와인잔,굿즈명,CMWC,정확,1.00,확정,jaccard score=1.00 freq=4
Carryme와인잔(1입),굿즈명,CMWS,정확,1.00,확정,jaccard score=1.00 freq=16
Carryme와인잔(2입),굿즈명,CMWC,정확,1.00,확정,jaccard score=1.00 freq=8
Eco 페이퍼박스 키트,굿즈명,ECPB,유사,0.50,미검증,jaccard score=0.50 freq=8
Eco페이퍼박스 키트,굿즈명,ECPB,유사,0.50,미검증,jaccard score=0.50 freq=1
Eco페이퍼박스(S사이즈),굿즈명,ECPB,정확,1.00,확정,jaccard score=1.00 freq=5
Eco페이퍼박스(S사이즈) 키트,굿즈명,ECPB,유사,0.75,미검증,jaccard score=0.75 freq=10
Eco페이퍼박스(S사이즈)키트,굿즈명,ECPB,유사,0.75,미검증,jaccard score=0.75 freq=14
Eco페이퍼박스(T사이즈),굿즈명,ECPT,정확,1.00,확정,jaccard score=1.00 freq=9
