표준키,키유형,TMS_견적코드,매칭방식,매칭신뢰도,검증상태,근거
"""",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""Eco페이퍼박스(T사이즈) 키트",굿즈명,ECPB,유사,0.40,보류,jaccard score=0.40 freq=1
"""Motion스탠다드박스(Tower) 키트",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""Open페이퍼박스(스탠다드) (영문버전)",굿즈명,OPPR,유사,0.40,보류,jaccard score=0.40 freq=1
"""Open페이퍼박스(스탠다드) 키트",굿즈명,OPPR,유사,0.40,보류,jaccard score=0.40 freq=1
"""Passion더스트백(반투명M) 키트",굿즈명,,수기,0.50,보류,jaccard score=0.50 freq=1
"""Passion더스트백(블랙M) 키트",굿즈명,,수기,0.50,보류,jaccard score=0.50 freq=1
"""Quality슬리브박스",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""Quality슬리브박스 키트",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""Raw코튼파우치(L",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
"""Simple슬라이드지퍼백(M)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""Simple슬라이드지퍼백(M) 키150",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""Start틴케이스",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""Stationery페이퍼박스 키트",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""Storage펄프박스키트2",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""Two-way에코쇼핑백(XL)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""굿이너프비치타월(FastTrack)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""데일리짐색(단품)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
"""데일리짐색(키트)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""데코무선가습기",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""드레스업손거울",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""라미사파리펜",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""라이트샤오미펜",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""레더라벨캠핑체어",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""레더스킨다이어리(표준)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=6
"""레디고런치박스",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""레터링유리머그 +홈카페코스터",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""로고스트랩파우치(단품)블루230",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""로고스트랩파우치(키트)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""리마커블칫솔살균기",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""리유저블캘린더",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""리틀빅리유저블컵(아이보리)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""매트블랙텀블러",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""메시지캐리어파우치",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""모바일오피스파우치",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""미스트워터보틀",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""밸류무선충전마우스패드",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""베케이션여권케이스",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""브랜디드노트북백 키트",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""브랜디드피규어",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""센텐스펜",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""슈가케인펜",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
"""스타트씨드키트",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
"""스탠드-업칫솔",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""스탠리슬림보틀",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""스펙트럼컬러펜",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""슬로건다이어리(표준)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=4
"""시그니처다이어리(표준)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""어썸그립",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""어태치보조배터리",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""어텐션스포츠보틀",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""에너제틱목마사지기",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""에디트캘린더",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""에센셜장우산(실버)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""오토매틱와인오프너",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""오피스마우스패드(스티커 부착)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""올데이텀블러",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""올블랙펜",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""올웨이즈양우산",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""와이드클립펜",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""월드오브피규어Set",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""월드와이드멀티어댑터",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""유니크디퓨저",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""인스타피규어",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""인스타피규어(얼굴+모자(헬맷)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""임팩트슬로건타월",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""캔버스피크닉매트",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""캔버스피크닉매트(1인용)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""클립아트펜",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""킵세이프마그넷배터리",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""톤앤톤쿨러백(단품)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""트리플컬러펜∣JETSTREAM",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""페이퍼샤쉐1- 워터폴 - 네이비커버",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""펠트스트링파우치 키트",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""포시즌블랭킷(무릎담요)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""포시즌티셔츠",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""폴더블 텀블러 실크",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""풀커버스프링노트",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""프레젠트골프공3구",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""프리미엄린넨샤쉐",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""플러스멀티충전스테이션",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""피규어주차번호판",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""하이킹폴딩방석",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
"""핸디링미니선풍기",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""헬로카드형USB",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""홈카페코스터",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""히트업손난로보조배터리",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
( 34박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
( 3박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(+ 피크닉매트+캐리미와인잔),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(+러그+포시즌블랭킷+코스터+아이콘콜드컵),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(100매) set,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(11),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(11박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"(12)""",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(12박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(13박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(14),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(15box),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(16박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(1box),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(1박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=15
(2),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(2)5),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(20박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(230),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(23박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(240),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(250),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(25박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(260),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(26박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(270),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(2XL),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
(2박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(3),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(35박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(3L),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
(3L)40,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(3XL),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(3박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
(4L),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
(4L)30,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(4box),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(4박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(5L),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
(5L)10,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(5박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(6BOX),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(6box),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(6개입 * 42박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(7박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
(8,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(8),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(8묶음),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(8박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(8핀,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(8핀),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(9박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(A,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(L),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=8
(LL),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
(LL)20,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(M),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
(O형링205),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(PNA37363-프라이머스케이),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(PNA38406-여기어때),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
(PNA50147-텐텍),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=14
(S),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(XL ),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(XL),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(개별),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(광주),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(구버전156),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(기존로고)150,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(내부 확인용 선출고),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(다이어리-레드)50,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(다이어리-블루)55,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(다이어리없음)30,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
