parts_code,parts_name,in_qty,out_qty,net_change,closing_balance,txn_count
PT0011,"머그류지지박스(전용)_화이트_000-3",1,0,1,1,1
PT0388,"단품박스(스탠다드)_화이트_000-15",0,12043,-12043,-12043,4
PT0404,"바스켓_바디_오트밀",0,733,-733,-733,2
PT0407,"바스켓_바디_그레이",0,7,-7,-7,1
PT0453,"PT0453",3964,6438,-2474,-2474,9
PT0454,"PT0454",141,258,-117,-117,3
PT0473,"PT0473",130,0,130,130,1
PT0475,"PT0475",0,1586,-1586,-1586,1
PT0477,"PT0477",0,102,-102,-102,1
PT0484,"PT0484",0,3174,-3174,-3174,1
PT0493,"PT0493",2050,1939,111,111,7
PT0532,"PT0532",0,716,-716,-716,1
PT0536,"PT0536",1000,500,500,500,2
PT0542,"PT0542",0,1345,-1345,-1345,2
PT0543,"PT0543",0,3077,-3077,-3077,2
PT0546,"PT0546",120,120,0,0,2
PT0547,"PT0547",296,296,0,0,4
PT0548,"PT0548",2135,3941,-1806,-1806,6
PT0549,"PT0549",2128,7136,-5008,-5008,4
PT0554,"PT0554",450,4719,-4269,-4269,7
PT0555,"PT0555",462,3451,-2989,-2989,7
PT0557,"PT0557",0,306,-306,-306,1
PT0558,"머그류지지박스_블랙_000-2",0,104,-104,-104,1
PT0571,"PT0571",0,969,-969,-969,2
PT0573,"PT0573",180,180,0,0,2
PT0575,"텀블러류지지대(전용)_블랙_000-1",0,165,-165,-165,1
PT0576,"골지트레이박스(스탠다드)_블랙_200-2",200,373,-173,-173,3
PT0578,"노트류지지대(전용)_블랙_100-1",0,165,-165,-165,1
PT0579,"슬라이드지퍼백(커스텀인쇄)(Large)_반투명_200-1",0,154,-154,-154,1
PT0580,"PT0580",0,6141,-6141,-6141,4
PT0584,"PT0584",893,662,231,231,7
PT0588,"PT0588",6780,13485,-6705,-6705,16
PT0594,"PT0594",240,240,0,0,2
PT0596,"PT0596",0,80,-80,-80,1
PT0599,"PT0599",308,95,213,308,3
PT0600,"PT0600",6147,765,5382,5382,10
PT0601,"골지G형박스(M)_그레이_200-1",0,1475,-1475,-1475,1
PT0602,"골지G형박스(S)_그레이_100-1",0,1512,-1512,-1512,1
PT0606,"골지G형박스(L)_그레이_200-2",0,3751,-3751,-3751,1
PT0608,"PT0608",85,85,0,0,2
PT0611,"PT0611",194,194,0,0,4
PT0616,"PT0616",220,220,0,0,4
PT0652,"PT0652",1880,3052,-1172,-1172,53
PT0667,"PT0667",0,9345,-9345,-9345,7
PT0733,"PT0733",0,302,-302,-302,2
PT0734,"PT0734",398,398,0,0,4
PT0736,"PT0736",200,2917,-2717,-2717,4
PT0737,"PT0737",360,360,0,0,4
PT0760,"PT0760",180,180,0,0,2
PT0761,"골지단품박스_그레이_100-4",240,3087,-2847,-2847,7
PT0786,"단품박스(전용)_화이트_000-13",0,309,-309,-309,1
PT0833,"PT0833",1100,729,371,371,6
PT0858,"PT0858",188,128,60,60,3
PT0859,"PT0859",0,2612,-2612,-2612,4
PT0873,"PT0873",0,7362,-7362,-7362,1
PT0874,"PT0874",2849,3950,-1101,-1101,9
PT0880,"PT0880",871,871,0,0,6
PT0895,"PT0895",5400,10810,-5410,-5410,9
PT0896,"단품박스(전용)_화이트_100-4",0,106,-106,-106,1
PT0944,"단품박스(스탠다드)_웜그레이_000-25",0,1,-1,-1,1
PT0947,"PT0947",0,2041,-2041,-2041,2
PT0948,"PT0948",0,2612,-2612,-2612,4
PT0988,"실버팩_200-1",500,1018,-518,-518,4
PT0989,"PT0989",500,2704,-2204,-2204,4
PT0993,"PT0993",377,204,173,173,3
PT0996,"PT0996",0,2991,-2991,-2991,3
PT1017,"펠트봉투(커스텀인쇄)_화이트_000-1",0,101,-101,-101,1
PT1018,"PT1018",134,134,0,0,2
PT1028,"PT1028",5028,5028,0,0,2
PT1030,"PT1030",6328,7074,-746,-746,13
PT1032,"PT1032",7080,12448,-5368,-5368,10
PT1036,"PT1036",0,1184,-1184,-1184,1
PT1046,"PT1046",0,3912,-3912,-3912,7
PT1050,"PT1050",130,130,0,0,2
PT1072,"PT1072",0,2512,-2512,-2512,7
