PT코드,차단단위수,sincerely_규격,차원수,분류,예시_굿즈명
PT4432,54,75x105,2,2D_파서필요,브랜디드피규어
PT1492,30,128x202,2,2D_파서필요,브릭메모&캘린더스탠드
PT2373,18,130x190,2,2D_파서필요,데코스티커
PT4028,17,340x435,2,2D_파서필요,데일리짐색(키트)
PT0851,16,290x205,2,2D_파서필요,로고스트랩파우치(키트)
PT4745,15,1000x200,2,2D_파서필요,임팩트슬로건타월
PT4520,15,100x155,2,2D_파서필요,브릭메모&캘린더스탠드
PT4363,14,276x200(펼침면기준),2,2D_파서필요,풀커버스티치노트(300개이하)
PT4473,13,24x16,2,2D_파서필요,브랜디드피규어키링
PT4366,13,276x200(펼침면기준),2,2D_파서필요,풀커버스티치노트(300개이하)
PT4030,13,340x435,2,2D_파서필요,데일리짐색(키트)
PT5134,12,95x15,2,2D_파서필요,커넥트6in1케이블키트
PT2352,12,247x217x93 펼침 339*637,5,3D_즉시,Quality슬리브박스
PT0879,12,265x65,2,2D_파서필요,매트블랙텀블러
PT2911,11,385x290,2,2D_파서필요,하이킹폴딩방석
PT1676,11,"300x300x145
(크로스 스트랩
:30x138)",5,3D_즉시,톤앤톤쿨러백(단품)
PT1130,11,200x87,2,2D_파서필요,스타일수면안대
PT1677,10,최대220x185,2,2D_파서필요,톤앤톤쿨러백(단품)
PT1029,10,80x81 펼침 81*168,4,3D_즉시,브랜드-잇
PT1027,10,80x81 펼침 81*168,4,3D_즉시,브랜드-잇
PT5222,9,"100 x 175 mm
접었을때 100 x 140mm",4,3D_즉시,아이덴티티스티커팩
PT4569,9,76x163,2,2D_파서필요,브랜드팝클리어키링
PT5260,8,Ø85 x H138 mm (용량 475ml),3,3D_즉시,컴포트스텐머그
PT5256,8,Ø81 x H166 mm (용량 473ml),3,3D_즉시,스테이텀블러
PT5228,8,90x130mm,2,2D_파서필요,브릭메모&캘린더스탠드
PT5223,8,110x160+40mm,3,3D_즉시,아이덴티티스티커팩
