PT코드,차단단위수,단독차단수,예시_굿즈명,예시_PNA,규격_입력(가로x세로x높이mm)
PT4424,90,19,브랜디드피규어키링,PNA37834,
PT4421,80,15,브랜디드피규어,PNA38086,
PT4894,61,6,스펙트럼컬러펜,PNA36940,
PT3708,60,10,스펙트럼컬러펜,PNA36940,
PT3576,57,6,스펙트럼컬러펜,PNA36940,
PT2402,55,4,스펙트럼컬러펜,PNA36940,
PT4432,54,12,브랜디드피규어,PNA38034,
PT4422,51,12,브랜디드피규어,PNA37408,
PT4464,45,6,브랜디드피규어,PNA38086,
PT0535,33,6,Passion더스트백(반투명M),PNA37701,
PT1492,30,7,브릭메모&캘린더스탠드,PNA37408,
PT4733,30,6,브랜디드피규어키링,PNA38231,
PT3761,30,3,Passion더스트백(반투명M),PNA37701,
PT3691,30,2,슬로건다이어리(표준),PNA37360,
PT4728,29,6,브랜디드피규어키링,PNA37000,
PT4431,28,4,브랜디드피규어키링,PNA38231,
PT4613,26,1,라이트샤오미펜,PNA38271,
PT4590,26,1,라이트샤오미펜,PNA38271,
PT3755,25,5,Solid스탠다드G형박스(L사이즈),PNA37892,
PT4113,24,5,와이드클립펜,PNA36625,
PT5124,24,2,킵세이프마그넷배터리Max,PNA37967,
PT4103,23,4,와이드클립펜,PNA36625,
PT4383,23,3,풀커버스티치노트(300개초과),PNA36625,
PT3730,23,2,레더스킨다이어리(표준),PNA37460,
PT5125,23,2,킵세이프마그넷배터리Max,PNA37967,
PT3715,22,21,Simple슬라이드지퍼백(S),PNA36940,
PT2486,22,5,Solid스탠다드G형박스(L사이즈),PNA37460,
PT3754,22,4,스탠드-업칫솔,PNA37967,
PT4274,22,2,시그니처다이어리(블랙),PNA37892,
PT4031,21,5,데일리짐색(키트),PNA37834,
PT4083,21,4,데일리짐색(키트),PNA37834,
PT5110,20,2,킵세이프마그넷배터리Max,PNA37967,
PT3669,20,1,브랜드-잇,PNA37892,
PT3648,19,4,Quality슬리브박스,PNA37408,
PT1138,19,4,스탠드-업칫솔,PNA38117,
PT3689,19,3,데코스티커,PNA36625,
PT4101,19,1,와이드클립펜,PNA36625,
PT2550,19,1,슬로건다이어리(표준),PNA37360,
PT3641,18,15,리마커블칫솔살균기,PNA50248,
PT3735,18,6,애드온뱃지,PNA37519,
PT2373,18,2,데코스티커,PNA36625,
PT3720,18,2,매트블랙텀블러,PNA38056,
PT4836,18,2,핸디링미니선풍기,PNA50895,
PT4840,18,2,핸디링미니선풍기,PNA50895,
PT2527,18,0,브랜드-잇,PNA37892,
PT4864,17,4,브랜디드타월,PNA38064,
PT4855,17,4,브랜디드타월,PNA38064,
PT3723,17,4,메시지캐리어파우치,PNA38099,
PT4028,17,1,데일리짐색(키트),PNA37834,
PT5140,17,1,커넥트6in1케이블키트,PNA37901,
PT3650,17,1,올웨이즈양우산,PNA37955,
PT3235,17,1,액티브스포츠타월,PNA50131,
PT3938,17,1,핸디링미니선풍기,PNA50895,
PT5108,17,0,킵세이프마그넷배터리Max,PNA37967,
PT5103,16,3,킵세이프마그넷배터리Max,PNA37967,
PT0851,16,2,로고스트랩파우치(키트),PNA37360,
PT3236,16,2,액티브스포츠타월,PNA37868,
PT3287,16,1,올웨이즈양우산,PNA37955,
PT5138,16,0,커넥트6in1케이블키트,PNA50108,
PT4606,15,5,에센셜와인오프너세트,PNA38143,
PT4520,15,4,브릭메모&캘린더스탠드,PNA37408,
PT4642,15,4,카드트레이피규어세트,PNA38485,
PT3840,15,4,테크미니파우치,PNA50519,
PT2972,15,2,메시지캐리어파우치,PNA50225,
PT4745,15,2,임팩트슬로건타월,PNA50509,
PT3607,15,1,로고스트랩파우치(키트),PNA37360,
PT0831,14,4,레더스킨다이어리(표준),PNA37460,
PT3238,14,4,Solid스탠다드G형박스(M사이즈),PNA38086,
PT3149,14,3,미니멀스텐머그,PNA38162,
