PT코드,차단단위수,단독차단수,예시_굿즈명,예시_PNA,규격_입력(가로x세로x높이mm)
PT4424,100,15,브랜디드피규어키링,PNA37834,
PT4421,92,13,브랜디드피규어,PNA38086,
PT4894,63,5,스펙트럼컬러펜,PNA36940,
PT3708,63,9,스펙트럼컬러펜,PNA36940,
PT4432,63,11,브랜디드피규어,PNA38034,
PT3576,60,5,스펙트럼컬러펜,PNA36940,
PT4422,60,9,브랜디드피규어,PNA37408,
PT2402,58,4,스펙트럼컬러펜,PNA36940,
PT4464,56,6,브랜디드피규어,PNA38086,
PT4728,35,6,브랜디드피규어키링,PNA37000,
PT4733,34,5,브랜디드피규어키링,PNA38231,
PT0535,33,6,Passion더스트백(반투명M),PNA37701,
PT4431,32,4,브랜디드피규어키링,PNA38231,
PT1263,31,27,키트 포장,PNA50924,
PT3691,30,2,슬로건다이어리(표준),PNA37360,
PT3761,30,3,Passion더스트백(반투명M),PNA37701,
PT1492,29,7,브릭메모&캘린더스탠드,PNA37408,
PT3755,27,6,Solid스탠다드G형박스(L사이즈),PNA37892,
PT4613,26,1,라이트샤오미펜,PNA38271,
PT4590,26,1,라이트샤오미펜,PNA38271,
PT4113,24,5,와이드클립펜,PNA36625,
PT4103,23,4,와이드클립펜,PNA36625,
PT3730,23,2,레더스킨다이어리(표준),PNA37460,
PT4383,22,3,풀커버스티치노트(300개초과),PNA36625,
PT3715,22,21,Simple슬라이드지퍼백(S),PNA36940,
PT2486,22,4,Solid스탠다드G형박스(L사이즈),PNA37460,
PT4274,22,2,시그니처다이어리(블랙),PNA37892,
PT3754,22,4,스탠드-업칫솔,PNA37967,
PT5124,22,2,킵세이프마그넷배터리Max,PNA37967,
PT4083,21,4,데일리짐색(키트),PNA37834,
PT4031,21,5,데일리짐색(키트),PNA37834,
PT5125,21,2,킵세이프마그넷배터리Max,PNA37967,
PT3689,20,3,데코스티커,PNA36625,
PT5110,20,2,킵세이프마그넷배터리Max,PNA37967,
PT2373,19,2,데코스티커,PNA36625,
PT4101,19,1,와이드클립펜,PNA36625,
PT2550,19,1,슬로건다이어리(표준),PNA37360,
PT3648,19,4,Quality슬리브박스,PNA37408,
PT3669,19,1,브랜드-잇,PNA37892,
PT1138,19,4,스탠드-업칫솔,PNA38117,
PT3735,18,5,애드온뱃지,PNA37519,
PT3235,18,1,액티브스포츠타월,PNA50131,
PT3641,18,15,리마커블칫솔살균기,PNA50248,
PT4840,18,2,핸디링미니선풍기,PNA50895,
PT4836,18,2,핸디링미니선풍기,PNA50895,
PT0851,17,2,로고스트랩파우치(키트),PNA37360,
PT4028,17,1,데일리짐색(키트),PNA37834,
PT3236,17,2,액티브스포츠타월,PNA37868,
PT2527,17,0,브랜드-잇,PNA37892,
PT5140,17,1,커넥트6in1케이블키트,PNA37901,
PT3650,17,1,올웨이즈양우산,PNA37955,
PT3720,17,2,매트블랙텀블러,PNA38056,
PT4855,17,4,브랜디드타월,PNA38064,
PT3723,17,3,메시지캐리어파우치,PNA38099,
PT4425,17,1,브랜디드피규어키링[3],PNA38181,
PT3938,17,1,핸디링미니선풍기,PNA50895,
PT3607,16,1,로고스트랩파우치(키트),PNA37360,
PT3287,16,1,올웨이즈양우산,PNA37955,
PT5103,16,3,킵세이프마그넷배터리Max,PNA37967,
PT4864,16,3,브랜디드타월,PNA38064,
PT4606,16,6,에센셜와인오프너세트,PNA38143,
PT4473,16,2,브랜디드피규어키링,PNA38231,
PT5138,16,0,커넥트6in1케이블키트,PNA50108,
PT2972,16,2,메시지캐리어파우치,PNA50225,
PT3840,16,3,테크미니파우치,PNA50519,
PT4520,15,4,브릭메모&캘린더스탠드,PNA37408,
PT5108,15,0,킵세이프마그넷배터리Max,PNA37967,
PT4745,15,2,임팩트슬로건타월,PNA50509,
PT0847,14,0,로고스트랩파우치(키트),PNA37360,
PT0852,14,2,로고스트랩파우치(키트),PNA37360,
PT1234,14,1,슬로건다이어리(표준),PNA37360,
PT0831,14,4,레더스킨다이어리(표준),PNA37460,
PT3238,14,3,Solid스탠다드G형박스(M사이즈),PNA38086,
PT4669,14,3,베이직무선충전마우스패드[1],PNA38146,
