pt,sync_parts,좌표,실물재고수량,전산재고수량,order,마지막 실재고 체크 완료 일시,자재_특이사항
PT5069,PT5069-블리스터(전용)_투명,"A3BE3,A4AJ1",2030,2030,,2026.4.27 3:23오후,
PT0558,PT0558-머그류지지박스_블랙_000-2,"A2HP4,A2HQ4",1819,1819,,2026.4.27 1:49오후,
PT1459,PT1459-에코페이퍼봉투(스탠다드)_웜그레이_200-1,"A2HY4,A2HY5",1532,1532,,2026.4.27 1:53오후,
PT2115,PT2115-펠트스트링파우치(커스텀인쇄)_그레이_300-2,"A3BA4,A3BB4",1464,1464,,2026.4.27 2:12오후,
PT2429,PT2429-단품박스(스탠다드)_화이트,"A2AF3,A2AF4",1296,1296,,2026.4.27 1:59오후,
PT4751,PT4751-하이라이트슬라이드지퍼백(M),"A3BP1,A3BP2",1253,1253,,2026.4.27 2:21오후,
PT0526,PT0526-지지박스(스탠다드)_블랙_000-1,A2HI1,1253,1253,,2026.4.28 12:33오전,
PT2227,PT2227-펠트스트링파우치_화이트_200-2,"A3BC2,A3BD2",1093,1093,,2026.4.27 2:14오후,
PT4752,PT4752-하이라이트슬라이드지퍼백(L),"A3BQ1,A3BQ2",1046,1046,,2026.4.27 2:21오후,
PT5017,PT5017-페이퍼G형박스(스탠다드)_화이트,A1AB1,1024,1024,,2026.4.27 2:24오후,
PT4405,PT4405-하이라이트슬라이드지퍼백(S),"A3AK2,A3AK3",914,914,,2026.4.27 2:07오후,
PT1318,PT1318-실버팩_100-1,A3KI3,885,885,,2026.4.27 2:35오후,
PT0536,PT0536-무광스트링파우치(커스텀인쇄)(M)_반투명_200-1,"A3BN3,A3BN4",880,880,,2026.4.27 2:17오후,
PT5315,PT5315-어반스텐런치박스ABS뚜껑,A2IA1,800,800,,,"결합상품
- PT5314-어반스텐런치박스(칸막이.밴드.설명서포함)
- PT5315-어반스텐런치박스ABS뚜껑
- PT5316-전용박스(스탠다드)"
PT5316,PT5316-전용박스(스탠다드),A2IB1,790,790,,,"결합상품
- PT5314-어반스텐런치박스(칸막이.밴드.설명서포함)
- PT5315-어반스텐런치박스ABS뚜껑
- PT5316-전용박스(스탠다드)"
PT4842,PT4842-커스텀플레이트_블랙,A2HE1,690,690,,2026.4.27 1:43오후,
PT5264,PT5264-단품박스(스탠다드)_웜그레이,A2AG3,555,555,,2026.4.27 2:01오후,
PT0529,PT0529-지지박스(스탠다드)_화이트_000-1,A2HJ2,541,541,,2026.4.27 1:46오후,
PT1733,PT1733-무광스트링파우치(커스텀인쇄)_반투명_100-1,"A3BA1,A3BB1",512,512,,2026.4.27 2:13오후,
PT5318,PT5318-바스락지퍼백(1입),"A3AD2,A3AD3",500,500,,,
PT0534,PT0534-무광스트링파우치(커스텀인쇄)(M)_블랙_200-1,A3BA2,500,500,,2026.4.27 2:13오후,
PT5361,PT5361-단품박스(스탠다드)_화이트,A2AJ4,480,480,,,
PT0510,PT0510-종이패드(스탠다드)_블랙_300-1,"A2HX4,A2HV5,A2HW5,A2HX5",428,428,,2026.4.27 1:52오후,
PT2152,PT2152-비누트레이(천연수세미),A3AI4,406,406,,2026.4.28 12:35오전,
PT1705,PT1705-단품박스(기성)_000-21,A2HC2,326,326,,2026.4.27 1:39오후,
PT5312,PT5312-단품박스(전용)(GS),A2IB2,310,310,,,
PT5309,PT5309-지퍼백(전용)(1입),A3AK1,270,270,,2026.4.27 2:08오후,
PT2089,PT2089-골지단품박스_그레이_100-5,"A2HD2,A2HE2",200,200,,2026.4.27 1:41오후,
PT5314,PT5314-어반스텐런치박스(칸막이.밴드.설명서포함),A4AH1,200,200,,,"결합상품
- PT5314-어반스텐런치박스(칸막이.밴드.설명서포함)
- PT5315-어반스텐런치박스ABS뚜껑
- PT5316-전용박스(스탠다드)"
PT4843,PT4843-골지단품박스(전용)(핸들),A2IC2,197,197,,2026.4.27 1:43오후,"결합상품
PT4830-솔리드레디백_블랙"
PT0518,PT0518-굿즈박스(스탠다드)_블랙_000-1,"A2HG2,A2HH2",159,159,,2026.4.28 12:41오전,
PT2106,PT2106-단품박스(스탠다드)_웜그레이_000-27,"A2AL1,A2AL2",138,138,,2026.4.27 2:03오후,
PT0563,PT0563-코튼스트링파우치(커스텀인쇄)(XL)_광목_200-2,A2HA1,105,105,,2026.4.27 1:39오후,
PT3346,PT3346-머그류지지박스_그레이,A2HO3,97,97,,2026.4.28 12:29오전,
PT3330,PT3330-칫솔케이스(커스텀인쇄)_투명,A3AF1,8,8,,2026.4.27 2:11오후,
PT4830,PT4830-솔리드레디백_블랙,A2HD1,8,8,,2026.4.27 1:41오후,"결합상품
PT4843-골지단품박스(전용)(핸들)"
